link;price;date;address
/realestateandhomes-detail/2001-Hamilton-St-Apt-1002_Philadelphia_PA_19130_M47052-77061;650000.0;Jul 7, 2023;2001 Hamilton St Apt 1002, Philadelphia, PA 19130
/realestateandhomes-detail/322-Roseberry-St_Philadelphia_PA_19148_M47543-10328;245000.0;Jul 7, 2023;322 Roseberry St, Philadelphia, PA 19148
/realestateandhomes-detail/212-24-S-24th-St-Unit-2405_Philadelphia_PA_19103_M91738-84108;805000.0;Jul 7, 2023;212-24 S 24th St Unit 2405, Philadelphia, PA 19103
/realestateandhomes-detail/1221-S-Wilton-St_Philadelphia_PA_19143_M40761-59932;75000.0;Jul 7, 2023;1221 S Wilton St, Philadelphia, PA 19143
/realestateandhomes-detail/715-Longshore-Ave_Philadelphia_PA_19111_M39461-01792;325000.0;Jul 7, 2023;715 Longshore Ave, Philadelphia, PA 19111
/realestateandhomes-detail/1860-Greymont-St_Philadelphia_PA_19116_M33870-96207;467500.0;Jul 7, 2023;1860 Greymont St, Philadelphia, PA 19116
/realestateandhomes-detail/1519-Conlyn-St_Philadelphia_PA_19141_M43636-24491;234000.0;Jul 7, 2023;1519 Conlyn St, Philadelphia, PA 19141
/realestateandhomes-detail/927-Scattergood-St_Philadelphia_PA_19124_M33417-99898;100000.0;Jul 7, 2023;927 Scattergood St, Philadelphia, PA 19124
/realestateandhomes-detail/4921-Darrah-St_Philadelphia_PA_19124_M30850-13954;95000.0;Jul 7, 2023;4921 Darrah St, Philadelphia, PA 19124
/realestateandhomes-detail/2022-S-Bonsall-St_Philadelphia_PA_19145_M40481-95954;165000.0;Jul 7, 2023;2022 S Bonsall St, Philadelphia, PA 19145
/realestateandhomes-detail/13250-Trevose-Rd_Philadelphia_PA_19116_M38860-14082;1100000.0;Jul 7, 2023;13250 Trevose Rd, Philadelphia, PA 19116
/realestateandhomes-detail/5018J-N-Convent-Ln-296_Philadelphia_PA_19114_M34739-32058;190000.0;Jul 7, 2023;5018 N Convent Ln # 296, Philadelphia, PA 19114
/realestateandhomes-detail/1511-W-Flora-St_Philadelphia_PA_19121_M37458-03464;38000.0;Jul 7, 2023;1511 W Flora St, Philadelphia, PA 19121
/realestateandhomes-detail/593-E-Carver-St_Philadelphia_PA_19120_M32599-36742;117600.0;Jul 7, 2023;593 E Carver St, Philadelphia, PA 19120
/realestateandhomes-detail/5129-Stenton-Ave_Philadelphia_PA_19144_M33645-24572;117000.0;Jul 7, 2023;5129 Stenton Ave, Philadelphia, PA 19144
/realestateandhomes-detail/5716-Vine-St_Philadelphia_PA_19139_M35151-24470;90000.0;Jul 7, 2023;5716 Vine St, Philadelphia, PA 19139
/realestateandhomes-detail/5721-Malvern-Ave_Philadelphia_PA_19131_M46851-68707;120000.0;Jul 7, 2023;5721 Malvern Ave, Philadelphia, PA 19131
/realestateandhomes-detail/10226-Albemarle-Ln_Philadelphia_PA_19114_M46024-76283;260000.0;Jul 7, 2023;10226 Albemarle Ln, Philadelphia, PA 19114
/realestateandhomes-detail/1919-Annin-St_Philadelphia_PA_19146_M39019-54399;375000.0;Jul 7, 2023;1919 Annin St, Philadelphia, PA 19146
/realestateandhomes-detail/142-Melvale-St_Philadelphia_PA_19125_M41601-37586;200000.0;Jul 7, 2023;142 Melvale St, Philadelphia, PA 19125
/realestateandhomes-detail/137-N-55th-St_Philadelphia_PA_19139_M33434-40272;150000.0;Jul 7, 2023;137 N 55th St, Philadelphia, PA 19139
/realestateandhomes-detail/7841-Venus-Pl_Philadelphia_PA_19153_M48031-17341;175000.0;Jul 7, 2023;7841 Venus Pl, Philadelphia, PA 19153
/realestateandhomes-detail/3032-N-American-St_Philadelphia_PA_19133_M42594-88589;4946.0;Jul 7, 2023;3032 N American St, Philadelphia, PA 19133
